Url,Title,Query,Error,Timestamp
http://www.bke-miskolcpereces.hu/kapcsolat,ScrapeTitleError,kulturalis egyesulet kapcsolat,<urlopen error timed out>,ScrapeMailError,<urlopen error timed out>,"""2020-07-14T14:51:00.335471"""
https://www.hunniakuvasz.hu/contact,Kapcsolat | Hunnia Kuvasz Tenyésztői és Kulturális Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:04.671241"""
http://zeta-adacs.hu/kapcsolat/,Kapcsolat | Zéta Kulturális Egyesület Adács,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:09.173856"""
https://wukk.de/,Csodaszarvas Magyar Kulturális Egyesület Karlsruhe,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:14.199873"""
https://www.lajoskomarom.hu/lajoskomarom.php?fid=7&idus=28&tit=Kutas%20Kultur%E1lis%20%20Egyes%FClet&lang=hu,Kutas Kulturlis Egyeslet,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:15.150069"""
http://muravidek.eu/kapcsolat/,Kapcsolat | Muravidék Baráti Kör Kulturális Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:18.181804"""
https://www.hunshooting.hu/zte-sportlovesz-klub-es-kulturalis-egyesulet,ScrapeTitleError,kulturalis egyesulet kapcsolat,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1108)>,ScrapeMailError,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1108)>,"""2020-07-14T14:51:18.798057"""
http://torony.hu/civil-szervezetek/toronyor-kulturalis-egyesulet/,Toronyőr Kulturális Egyesület - Torony Község Weboldala,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:22.143515"""
https://artgroupe.hu/,ArtGroup Közhasznú Kulturális Egyesület – ArtGroup Közhasznú Kulturális Egyesület,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:23.634444"""
http://kike.hu/,kike.hu,kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:29.597522"""
https://www.ceginformacio.hu/cr9310184152,"Kapcsolat 2007 Kulturális Egyesület rövid céginformáció, cégkivonat, cégmásolat letöltése",kulturalis egyesulet kapcsolat,NONE,NONE,NONE,"""2020-07-14T14:51:33.495816"""
